Joomla Survey Force Deluxe Package	package	Joomplace Team	https://extensions.joomla.org/extensions/extension/contacts-and-feedback/surveys/survey-force-deluxe/	https://www.joomplace.com/blog/survey-3-2-5-patch.html
Joomloc	component	Laurent Brossard	https://extensions.joomla.org/extensions/extension/vertical-markets/booking-a-reservations/joomloc-cat/	http://www.joomloc.fr.nf/en/downloads-products/file/joomloc-pro-channel-manager-pms.html
K2	component	JoomlaWorks	https://extensions.joomla.org/extension/k2/	https://getk2.org/blog/2254-k2-v269-released
MediaLibrary	component	Rob de Cleen, Andrey Kvasnevskiy	https://extensions.joomla.org/extensions/extension/living/education-a-culture/medialibrary-basic/	https://ordasoft.com/News/News/media-library-security-update.html
MusCol	component	JoomlaThat!	https://extensions.joomla.org/extensions/extension/multimedia/multimedia-players/music-collection/	http://www.joomlathat.com/news/music-collection/music-collection-2-4-9-released-security-release-2
OS Property Package	package	Dang Thuc Dam	https://extensions.joomla.org/extensions/extension/vertical-markets/real-estate/os-property/	https://www.joomdonation.com/forum/os-property/61368-os-property-3-12-9-released-security-issue-fixed.html
OneVote!	component	Brian Keahl	https://extensions.joomla.org/extensions/extension/contacts-and-feedback/polls/onevote	http://www.advcomsys.com/joomla-demos
Osservicesbooking	component	Dang Thuc Dam	https://extensions.joomla.org/extension/os-services-booking/	https://www.joomdonation.com/forum/os-services-booking/55627-os-services-booking-2-5-2-security-announcement.html
Package Installer	component	Krileon		https://www.joomlapolis.com/news/18791-community-builder-2-1-5-security-and-maintenance-release
Package Proclaim	package	CWM Team	https://extensions.joomla.org/extensions/extension/living/religion/proclaim/	https://github.com/Joomla-Bible-Study/Joomla-Bible-Study/releases
PowerAdmin	component	JoomlaShine.com	https://extensions.joomla.org/extension/jsn-poweradmin/	http://www.joomlashine.com/knowledgeportal/articles/jsn-poweradmin-vulnerability-problem-solved.html
RPL	component	Realtyna Software Team	https://extensions.joomla.org/extension/vertical-markets/real-estate/realtyna-rpl/	
RealEstateManager	component	Rob de Cleen, Andrey Kvasnevskiy	https://extensions.joomla.org/extensions/extension/vertical-markets/real-estate/realestatemanager-basic/	http://ordasoft.com/News/News/real-estate-manager-security-update.html
RealPin	component	Marcel Toerpe	https://extensions.joomla.org/extensions/extension/multimedia/multimedia-display/realpin/	
SIMGenealogy	package	Mike Feng	https://extensions.joomla.org/extensions/extension/clients-a-communities/communities/simgenealogy/	https://www.simbunch.com/blog/183-simgenealogy-critical-security-update-2-1-8
Securitycheck	component	Jose A. Luque	https://extensions.joomla.org/extension/securitycheck/	https://securitycheck.protegetuordenador.com/index.php/downloads/securitycheck-j3x
Simple Image Gallery (by JoomlaWorks)	plugin	JoomlaWorks	https://extensions.joomla.org/extension/simple-image-gallery/	https://www.joomlaworks.net/blog/item/269-simple-image-gallery-free-v3-6-0-released-featuring-enhanced-print-previews-fixing-xss-vulnerability-related-to-print-page-output
SimpleImageUpload	component	Mathias Hortig		
Solidres Full Package	package	Solidres Team	https://extensions.joomla.org/extension/solidres/	https://www.solidres.com/download/show-all-downloads/solidres/solidres-2-5-1
Squad Management!	component	Lars Hildebrandt	https://extensions.joomla.org/extensions/extension/sports-a-games/sports/squadmanagement/	
System - Google Maps	plugin	mapsplugin.com	https://extensions.joomla.org/extensions/extension/maps-a-weather/maps-a-locations/google-maps-by-reumer/	
System - Novarain Installer	plugin	Novarain (Tassos Marinos)	https://extensions.joomla.org/extension/convert-forms/	
System - Rapi Preloader	plugin	RapiCode		
UserExtranet	component	beesto.com development team	https://extensions.joomla.org/extensions/extension/access-a-security/site-access/userextranet/	http://www.beesto.com/forum/read.php?30,2085
VehicleManager	component	Rob de Cleen, Andrey Kvasnevskiy	https://extensions.joomla.org/extensions/extension/vertical-markets/vehicles/vehiclemanager-basic/	UpdateNotice URL  http://ordasoft.com/News/News/vehicle-manager-security-update.html
VikRentItems	component	e4j - Extensionsforjoomla.com	https://extensions.joomla.org/extensions/extension/vertical-markets/booking-a-reservations/vik-rent-items	https://extensionsforjoomla.com/blog/12-updates/46-security-notices-sql-injection-reports
Visualcalendar	component	CodePeople	https://extensions.joomla.org/extensions/extension/calendars-a-events/events/visual-calendar/	http://www.joomlacalendars.com/updates/visual-calendar3.1.6
Watchful SSO	package	Watchful.li		https://watchful.li/news-blog/news/new-watchful-clients-and-sso-plugin-enhance-encryption
Zap Calendar Lite	package	Z Content	https://extensions.joomla.org/extensions/extension/calendars-a-events/events/zap-calendar-lite/	https://zcontent.net/support/zapcalendar/265-change-log-for-zap-calendar
ccNewsletter	component	Chill Creations	https://extensions.joomla.org/extension/ccnewsletter/	https://www.chillcreations.com/downloads/ccnewsletter#reltabs-145-notes
eXtplorer	component	soeren, QuiX Project	https://extensions.joomla.org/extension/extplorer/	http://extplorer.net/news/21
jNews	component	Joobi Limited	https://extensions.joomla.org/extension/jnews/	http://www.joobi.co/blog/jnews-8-7-released.html
jofacebookgallery	component	http://www.joomcore.com/	https://extensions.joomla.org/extensions/extension/social-web/social-media/jo-facebook-gallery/	http://joomcore.com/news-updates/item/109-update-jo-facebook-gallery-to-version-4-6-fixed-problem-sql-injection-in-version-4-5
jquickcontact	component	Wassim JIED	https://extensions.joomla.org/extensions/extension/contacts-and-feedback/contact-forms/jquickcontact/	http://coderspirit.blogspot.com/2011/07/jquickcontact.html
twitchtv	component	Raindrops Infotech	https://extensions.joomla.org/extensions/extension/sports-a-games/game-servers/twitch-tv-component/ 	
