# element	type	folder	name	patch_version	status	cve	url
pkg_attachments	package		pkg_attachments	3.2.6	Resolved		
pkg_communitybuilder	package		Community Builder Package	2.1.1	Resolved		
pkg_gantry5	package		pkg_gantry5		Resolved		
pkg_gpstools	package		GPS Tools Package	4.0.2	Resolved		
pkg_jem	package		pkg_jem	2.1.4.2	Resolved		
pkg_jevents	package		JEvents Package	3.2.20	Resolved		
pkg_jgive	package		JGive Package	2.0.11	Resolved	CVE-2018-5970	
pkg_jticketing	package		JTicketing Package	2.0.18	Resolved	CVE-2018-6585	
pkg_proclaim	package		Package Proclaim	9.1.2	Resolved	CVE-2018-7316, CVE-2018-7317	
pkg_solidres	package		Solidres Full Package	2.5.1	Resolved	CVE-2018-5980	
pkg_survey	package		Joomla Survey Force Deluxe Package	3.2.5	Resolved		
pkg_zhbaidumap	package		PKG_ZHBAIDUMAP	3.0.1.0	Resolved	CVE-2018-6605	
pkg_zhgooglemap	package		PKG_ZHGOOGLEMAP	8.4.1.0	Resolved	CVE-2018-6582	
pkg_zhyandexmap	package		PKG_ZHYANDEXMAP	6.3.1.0	Resolved	CVE-2018-6604	
plugin_googlemap3	plugin		System - Google Maps		Live		
sige	plugin		PLG_SIGE	3.2.4	Resolved	CVE-2017-16356	
yeeditor	plugin	editors	PLG_EDITORS_YEEDITOR		Live		
